time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.175178,3.8951e-05,3.34735,10000,512,1,500
0.174982,3.8437e-05,5.0315,10000,1024,1,500
0.174852,3.7955e-05,3.20927,10000,1,2,500
0.175224,3.7548e-05,2.23271,10000,2,2,500
0.175321,3.8283e-05,1.91754,10000,4,2,500
0.17506,3.7394e-05,1.83944,10000,8,2,500
0.175236,3.8645e-05,1.85713,10000,16,2,500
0.175028,3.7888e-05,1.84633,10000,32,2,500
0.175406,3.8302e-05,1.8428,10000,64,2,500
0.175113,3.751e-05,1.83978,10000,128,2,500
0.175291,3.7705e-05,2.01628,10000,256,2,500
0.175236,3.8832e-05,3.03859,10000,512,2,500
0.175384,3.8736e-05,2.94335,10000,1,4,500
0.175151,3.8672e-05,2.13987,10000,2,4,500
0.17526,4.5269e-05,1.88696,10000,4,4,500
0.175202,3.8809e-05,1.82279,10000,8,4,500
0.175173,3.7692e-05,1.83137,10000,16,4,500
0.175126,3.7719e-05,1.83669,10000,32,4,500
0.175403,4.6043e-05,1.84131,10000,64,4,500
0.175315,3.7545e-05,1.8382,10000,128,4,500
0.175136,4.6273e-05,2.46664,10000,256,4,500
0.175288,3.8538e-05,2.2083,10000,1,8,500
0.175212,3.8713e-05,1.91767,10000,2,8,500
0.175307,3.7628e-05,1.76451,10000,4,8,500
0.175327,3.7212e-05,1.76834,10000,8,8,500
0.175024,3.8252e-05,1.98262,10000,16,8,500
0.175083,3.8152e-05,1.77048,10000,32,8,500
0.175148,3.7046e-05,1.7653,10000,64,8,500
0.176722,3.8152e-05,1.76344,10000,128,8,500
0.174971,3.8082e-05,1.37122,10000,1,16,500
0.175439,3.6983e-05,1.23692,10000,2,16,500
0.174945,3.8307e-05,1.29093,10000,4,16,500
0.175321,3.8458e-05,1.20813,10000,8,16,500
0.175123,3.6942e-05,1.60484,10000,16,16,500
0.175155,3.74e-05,2.72188,10000,32,16,500
0.175434,3.7348e-05,2.34495,10000,64,16,500
0.175017,3.6661e-05,1.10504,10000,1,32,500
0.175424,4.7586e-05,1.07159,10000,2,32,500
0.175242,3.7666e-05,1.07021,10000,4,32,500
0.175162,3.828e-05,1.07308,10000,8,32,500
0.175032,3.8089e-05,1.13097,10000,16,32,500
0.175539,3.8122e-05,1.39545,10000,32,32,500
0.17526,3.934e-05,1.04257,10000,1,64,500
0.175301,3.808e-05,1.03756,10000,2,64,500
0.177817,3.8499e-05,1.05057,10000,4,64,500
0.176715,3.6046e-05,1.0428,10000,8,64,500
0.175333,3.8211e-05,1.12629,10000,16,64,500
0.175567,3.7975e-05,1.02296,10000,1,128,500
0.175196,3.7587e-05,1.02545,10000,2,128,500
0.175083,3.7864e-05,1.0399,10000,4,128,500
