time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line
0.174002,3.6946e-05,1.98059,10000,16,8
0.173863,3.5233e-05,1.76619,10000,32,8
0.173624,3.6324e-05,1.76371,10000,64,8
0.17387,3.5913e-05,1.75963,10000,128,8
0.173741,3.5777e-05,1.36528,10000,1,16
0.174019,3.5909e-05,1.22016,10000,2,16
0.174033,3.5808e-05,1.28453,10000,4,16
0.17412,3.6403e-05,1.20091,10000,8,16
0.174156,3.6132e-05,1.59792,10000,16,16
0.173784,3.7391e-05,2.6585,10000,32,16
0.173793,3.5443e-05,2.39189,10000,64,16
