time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.695925,6.4085e-05,10.7595,20000,1,4,500
0.695199,6.3689e-05,7.44339,20000,2,4,500
0.695578,6.2873e-05,6.32682,20000,4,4,500
0.695606,6.4393e-05,5.92843,20000,8,4,500
0.697391,6.5413e-05,5.94574,20000,16,4,500
0.695997,6.3543e-05,5.96425,20000,32,4,500
0.69545,6.4351e-05,5.95845,20000,64,4,500
0.695599,6.4767e-05,5.96449,20000,128,4,500
0.695798,6.3877e-05,5.97002,20000,256,4,500
0.695669,7.4054e-05,7.80508,20000,1,8,500
0.696205,6.359e-05,6.57192,20000,2,8,500
0.696037,6.2088e-05,6.02978,20000,4,8,500
0.697388,6.4187e-05,5.79745,20000,8,8,500
0.695378,6.3655e-05,5.79505,20000,16,8,500
0.695656,6.3618e-05,5.80448,20000,32,8,500
0.695222,6.304e-05,5.79266,20000,64,8,500
0.694783,6.4629e-05,5.79372,20000,128,8,500
0.694989,6.417e-05,4.40593,20000,1,16,500
0.69504,6.9129e-05,3.77319,20000,2,16,500
0.696209,6.3935e-05,3.52091,20000,4,16,500
0.695694,6.2784e-05,3.518,20000,8,16,500
0.696285,6.4252e-05,3.5137,20000,16,16,500
0.695982,6.3678e-05,3.51118,20000,32,16,500
0.695301,6.3232e-05,3.5167,20000,64,16,500
0.69581,6.2356e-05,3.28515,20000,1,32,500
0.694916,6.3016e-05,3.11313,20000,2,32,500
0.696097,6.4065e-05,3.11254,20000,4,32,500
0.695153,6.3343e-05,3.10542,20000,8,32,500
0.694189,7.1329e-05,3.10149,20000,16,32,500
0.696165,6.3173e-05,3.10585,20000,32,32,500
0.696444,6.2523e-05,3.04074,20000,1,64,500
0.696008,6.3101e-05,3.04152,20000,2,64,500
0.695404,6.4824e-05,3.0306,20000,4,64,500
0.695943,6.3369e-05,3.02565,20000,8,64,500
0.695153,6.4033e-05,3.02889,20000,16,64,500
0.694981,6.3991e-05,3.00191,20000,1,128,500
0.695366,6.3257e-05,3.00244,20000,2,128,500
0.695357,6.497e-05,3.00082,20000,4,128,500
0.695509,6.3462e-05,2.99795,20000,8,128,500
